Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
35,96,44,56,4,18,35,92
15,87,9,60,97,63,83,52
82,46,98,9,98,56,78,94
9,3,73,4,24,91,53,97
60,4,42,22,40,51,24,77
99,44,18,61,92,67,26,53
84,82,78,3,62,80,30,12
31,86,19,31,37,92,76,57
16,1,46,1,35,93,62,91
23,78,43,12,77,79,31,16
10,85,10,2,54,83,93,27
82,86,31,79,67,30,68,96
71,31,86,26,68,31,54,56
81,96,45,15,77,63,86,58
38,32,89,81,1,66,55,80
7,13,87,4,66,45,98,49
41,79,52,92,8,29,80,80
27,6,28,69,50,60,49,47
50,38,39,69,74,96,26,29
77,82,16,98,31,60,82,38
71,84,27,10,65,9,49,14
65,71,92,77,88,28,69,5
94,32,82,13,43,73,98,44
15,96,38,16,18,38,46,70
63,70,23,22,83,52,56,12
81,63,41,83,39,80,21,80
3,15,85,5,44,64,80,15
92,21,96,18,17,17,74,38
52,59,95,30,58,22,80,15
81,3,33,64,80,97,50,80
44,90,72,33,17,1,93,8
29,27,18,60,20,74,92,37
92,35,40,75,78,99,74,88
95,46,48,13,82,97,38,18
35,50,16,74,77,41,18,70
93,3,44,31,24,30,24,87
63,83,90,14,93,41,44,80
84,78,79,25,39,88,17,66
28,36,92,78,13,18,98,81
50,28,58,42,4,75,33,42
24,92,48,95,61,39,38,75
83,58,82,47,63,94,78,60
96,65,6,87,8,56,49,58
48,53,81,93,83,8,79,18
9,77,95,61,7,33,7,56
92,38,62,66,37,3,78,55
8,66,41,47,93,36,22,5
57,18,16,68,42,81,17,41
67,77,32,55,71,23,7,35
42,70,89,82,76,80,90,86
44,86,93,48,58,14,37,29
37,85,54,77,36,60,68,12
72,39,38,29,87,94,78,93
20,91,78,29,67,36,21,18
49,18,62,63,68,5,95,2
67,8,37,35,31,13,36,62
49,62,2,92,67,13,34,50
57,87,50,8,75,43,41,66
69,34,10,92,65,48,13,69
63,12,74,33,20,44,61,40
26,12,36,58,32,51,23,28
49,29,43,17,99,66,64,35
34,15,11,94,52,83,88,87
38,35,57,75,34,71,26,88
40,93,28,89,20,27,63,10
87,70,45,64,32,76,81,9
49,44,56,54,45,69,91,65
26,34,55,53,58,84,62,29
6,26,42,68,73,73,92,40
44,77,87,67,96,34,30,69
26,62,52,39,71,15,64,71
7,46,54,20,60,80,93,65
27,86,51,92,98,35,96,41
5,24,81,91,14,74,15,10
86,7,63,32,71,36,72,87
34,96,88,40,90,42,87,73
43,63,83,13,65,18,23,85
99,16,12,22,62,26,75,48
37,73,55,74,89,3,89,2
62,4,42,79,46,72,33,83
42,76,55,22,76,69,8,91
91,50,3,36,34,79,35,49
80,73,25,45,64,22,92,95
77,97,78,59,91,12,87,34
79,42,12,77,52,3,12,44
27,12,71,15,30,28,82,26
97,62,39,6,7,20,99,17
42,58,18,25,1,64,58,56
66,10,30,61,79,11,89,24
35,61,88,49,29,59,36,55
20,94,94,92,58,60,94,47
94,78,33,88,32,15,33,76
64,50,16,48,21,97,75,31
64,80,90,78,72,55,84,11
4,89,33,42,25,76,21,10
66,63,37,31,86,37,32,45
7,31,77,53,68,92,68,21
65,59,59,44,29,40,84,25
8,12,66,47,88,29,46,31
41,81,99,85,17,99,66,69
68,99,50,15,83,20,62,73
97,28,87,22,21,66,56,52
8,25,67,28,18,20,47,71
66,17,78,33,30,95,12,78
60,45,24,83,61,61,95,68
16,51,2,10,65,27,22,23
63,85,19,86,58,6,21,23
57,57,78,16,53,87,26,75
3,94,69,63,27,42,73,64
92,45,79,43,28,22,63,7
49,63,44,86,15,5,90,25
65,51,85,36,11,2,67,90
44,3,82,74,19,33,37,77
63,85,14,47,66,67,53,18
88,2,3,20,21,35,37,40
81,11,67,23,61,84,14,75
53,53,20,14,30,70,16,15
63,77,73,14,39,56,66,20
10,31,10,27,34,54,20,60
7,15,69,58,47,9,2,13
69,58,14,37,82,13,43,83
48,11,63,37,95,94,23,46
35,17,5,41,43,94,32,53
42,45,96,95,85,12,46,11
58,31,93,42,37,90,74,71
6,34,56,33,81,3,85,72
73,13,23,87,54,30,25,17
31,23,43,28,82,8,22,5
56,98,6,67,22,18,13,33
96,55,73,23,20,31,15,81
73,60,33,88,17,8,30,63
33,40,92,85,16,4,96,34
77,18,93,20,47,68,65,6
49,56,7,73,73,59,74,77
83,59,61,3,47,92,48,72
16,19,70,24,38,96,9,84
97,27,97,35,29,10,25,26
20,7,95,90,61,11,22,59
83,49,60,49,8,13,85,50
38,58,51,41,42,98,61,28
20,74,65,82,19,48,39,27
76,61,2,32,44,86,41,85
68,64,73,13,78,76,75,70
30,50,84,29,42,1,25,45
99,63,44,11,4,66,19,34
82,80,4,46,73,25,13,5
9,95,58,53,70,66,96,89
17,12,5,81,49,37,58,83
22,41,51,46,42,3,98,98
7,8,75,35,3,10,8,2
63,52,95,1,64,35,15,49
76,87,78,74,51,86,58,35
76,90,65,91,60,26,68,86
73,78,36,63,51,17,78,41
15,44,17,12,96,76,19,49
21,29,14,62,38,77,49,37
25,14,54,24,77,67,59,43
54,57,38,55,95,10,17,80
78,14,29,71,15,66,71,22
65,20,69,35,19,14,20,69
68,51,63,93,13,90,55,62
26,75,64,41,61,11,16,61
61,32,78,74,47,77,30,16
77,4,49,88,14,90,70,12
2,74,60,46,29,63,18,94
20,89,33,11,10,46,50,10
92,44,93,75,75,63,21,55
96,34,43,12,57,53,43,3
88,98,24,35,37,64,63,68
11,16,86,56,23,91,77,69
71,61,44,72,81,63,17,34
13,67,2,76,78,5,44,79
72,82,16,93,83,40,4,61
78,83,2,19,2,8,1,4
45,53,11,95,43,68,58,24
84,59,68,61,72,41,54,74
18,78,76,52,28,51,19,17
90,3,67,10,66,7,64,77
88,2,70,28,88,41,10,70
86,46,22,74,40,28,89,12
44,66,80,40,67,86,61,35
16,49,19,18,40,78,91,11
43,61,97,61,8,90,36,98
28,80,67,71,45,1,54,59
28,19,73,40,79,23,33,27
93,61,33,3,84,74,46,91
76,32,99,41,31,42,15,22
35,28,18,79,38,93,83,71
38,19,2,72,50,86,14,85
8,73,4,62,6,78,38,59
29,87,90,5,31,67,88,21
77,4,12,65,90,61,20,74
53,20,24,23,88,4,59,11
16,17,14,10,97,12,72,91
77,83,75,85,16,54,73,89
26,41,35,68,31,21,26,38
75,42,24,49,66,57,42,69
81,57,94,34,39,57,81,89
21,23,8,69,48,32,50,89
99,19,35,7,70,82,91,34
35,90,38,10,97,74,87,79
96,28,84,17,18,52,78,47
77,43,8,53,9,20,47,98
6,71,66,35,72,59,78,60
55,30,25,21,85,30,48,30
35,21,43,42,12,75,83,9
19,54,80,35,76,35,30,21
75,41,55,51,30,94,32,96
68,83,94,15,22,64,62,39
76,1,30,23,89,80,30,47
55,22,47,89,46,11,71,73
13,27,91,7,89,32,74,63
40,17,33,91,79,87,87,83
39,77,42,81,47,18,6,79
6,28,76,25,79,50,25,58
81,46,91,67,22,69,53,96
66,14,34,73,63,18,13,22
96,76,52,1,82,72,72,57
96,65,52,25,49,40,93,59
5,70,17,71,3,62,59,36
90,50,65,31,11,63,90,62
60,82,6,50,49,63,73,86
37,72,61,6,83,17,22,70
27,15,55,23,52,51,93,42
19,3,26,7,10,57,65,39
38,14,75,18,42,16,14,98
93,21,63,55,26,71,51,22
60,47,23,7,14,18,20,9
94,63,75,22,34,62,33,75
92,27,52,79,59,96,62,46
65,51,41,85,82,97,20,43
12,70,42,91,10,71,50,43
86,85,8,67,67,63,63,13
3,86,1,55,11,33,21,36
89,99,79,99,5,16,22,58
31,31,19,11,13,24,75,49
99,58,90,43,36,57,94,20
36,74,90,78,89,85,55,66
35,15,41,76,47,57,88,65
49,15,22,36,72,64,99,34
74,89,13,20,93,54,85,53
14,19,42,28,52,87,35,56
52,7,80,13,43,20,75,63
55,1,36,19,21,39,31,44
80,37,97,9,61,41,99,15
64,17,16,70,97,5,23,60
81,87,29,36,74,29,24,39
96,58,49,68,85,80,55,67
77,43,46,9,80,92,67,13
43,84,62,87,1,33,9,38
69,27,38,38,57,65,76,43
24,95,23,73,49,68,8,94
69,38,81,85,31,40,63,38
89,73,72,49,66,72,10,4
85,31,67,8,13,76,12,33
94,67,4,40,55,20,93,88
62,75,3,84,90,59,80,79
93,55,28,10,99,10,1,47
3,88,11,90,78,30,58,24
22,49,63,32,34,25,83,1
8,73,58,16,65,47,6,17
29,35,20,68,82,77,50,65
62,56,76,77,59,78,10,79
